speed_mph_float_bins,grade_percent_float_bins,num_lanes_int_bins,miles,gallons,rate
"(1, 5]","(-8, -6]","(0, 1]",6.362255966266373,0.42348543910738917,6.656215049390844
"(1, 5]","(-8, -6]","(1, 2]",32.43414000890582,2.418825837405585,7.457653684486222
"(1, 5]","(-8, -6]","(2, 3]",33.66970914457114,2.821879495559514,8.381062881900512
"(1, 5]","(-8, -6]","(3, 4]",30.17397314735461,2.423751926047644,8.032591247467646
"(1, 5]","(-8, -6]","(4, 10]",44.557817527020944,3.683582791215134,8.266973105182542
"(1, 5]","(-6, -5]","(0, 1]",2.566056334197673,0.18907986480158595,7.368500148719666
"(1, 5]","(-6, -5]","(1, 2]",22.59101316457531,1.6757963108859333,7.417977665179395
"(1, 5]","(-6, -5]","(2, 3]",23.802066744131228,1.8979425632283018,7.97385615136244
"(1, 5]","(-6, -5]","(3, 4]",21.371706334359075,1.6609075547160397,7.771525252739485
"(1, 5]","(-6, -5]","(4, 10]",29.838708390422877,2.4500861399885734,8.211099850337224
"(1, 5]","(-5, -4]","(0, 1]",4.619294832414493,0.3266289554221332,7.0709700781624525
"(1, 5]","(-5, -4]","(1, 2]",28.467709425089254,2.131575656759774,7.487696410450104
"(1, 5]","(-5, -4]","(2, 3]",28.447014590881302,2.2773337012743955,8.005527940370921
"(1, 5]","(-5, -4]","(3, 4]",27.031400640027144,2.15084980919353,7.95685668617788
"(1, 5]","(-5, -4]","(4, 10]",33.114616219271596,2.7283311861583477,8.239054223344889
"(1, 5]","(-4, -3]","(0, 1]",4.299536476548687,0.3218879752392517,7.486573889882121
"(1, 5]","(-4, -3]","(1, 2]",37.47531809723713,2.782370251928363,7.424540719598305
"(1, 5]","(-4, -3]","(2, 3]",38.355268518774956,3.030925862853534,7.902241282367483
"(1, 5]","(-4, -3]","(3, 4]",37.116880242688204,2.832890822528915,7.632351652418246
"(1, 5]","(-4, -3]","(4, 10]",46.88761047762262,3.7924957579214125,8.08848162507962
"(1, 5]","(-3, -2]","(0, 1]",8.800878343935048,0.5872878458299994,6.673059470646099
"(1, 5]","(-3, -2]","(1, 2]",51.76291981381648,3.6644808825242214,7.079355058997471
"(1, 5]","(-3, -2]","(2, 3]",56.82499463019246,4.3437338693720955,7.6440550459184164
"(1, 5]","(-3, -2]","(3, 4]",49.445949799051746,3.7942204527515555,7.673470664778937
"(1, 5]","(-3, -2]","(4, 10]",72.40528000811901,5.8354104759523935,8.059371464757891
"(1, 5]","(-2, -1]","(0, 1]",15.275474995333273,1.0898107471289116,7.134382056609393
"(1, 5]","(-2, -1]","(1, 2]",80.03213342766547,5.754658625230085,7.190435114954485
"(1, 5]","(-2, -1]","(2, 3]",84.08525402082556,6.472973967283648,7.698108357596772
"(1, 5]","(-2, -1]","(3, 4]",77.82146154892044,6.09057318879382,7.826341304275222
"(1, 5]","(-2, -1]","(4, 10]",103.97564884046388,8.342640383210568,8.023648302508972
"(1, 5]","(-1, 0]","(0, 1]",32.1015445010744,2.22864527872999,6.9424861431679705
"(1, 5]","(-1, 0]","(1, 2]",208.6586129497954,15.46302789272015,7.410682777058742
"(1, 5]","(-1, 0]","(2, 3]",207.54033886615488,16.147639187863312,7.780482231108386
"(1, 5]","(-1, 0]","(3, 4]",180.73847530839757,13.920536629233514,7.702032788248673
"(1, 5]","(-1, 0]","(4, 10]",234.98455686290254,19.028914868137655,8.097942742356354
"(1, 5]","(0, 1]","(0, 1]",29.348945454787728,2.054726237515189,7.001022372952071
"(1, 5]","(0, 1]","(1, 2]",190.48185015136346,13.942687412380687,7.31969339929308
"(1, 5]","(0, 1]","(2, 3]",189.2359195651534,14.60601633525868,7.718416444838776
"(1, 5]","(0, 1]","(3, 4]",174.35622999513862,13.572038447552728,7.784085746710136
"(1, 5]","(0, 1]","(4, 10]",226.3889179603298,18.285545330300902,8.077049660842976
"(1, 5]","(1, 2]","(0, 1]",11.104259195757642,0.8609494960295423,7.753326726725419
"(1, 5]","(1, 2]","(1, 2]",71.14925472466737,5.276854192299593,7.4165979850666135
"(1, 5]","(1, 2]","(2, 3]",78.86232307593119,6.266820800494995,7.946533345791878
"(1, 5]","(1, 2]","(3, 4]",71.89308883884416,5.637253478596024,7.841161883074067
"(1, 5]","(1, 2]","(4, 10]",99.82651469644283,8.110202574554334,8.124297035929
"(1, 5]","(2, 3]","(0, 1]",7.894576312892358,0.5340732856081751,6.765065843191592
"(1, 5]","(2, 3]","(1, 2]",49.71934579842342,3.7734691587505558,7.589539037881329
"(1, 5]","(2, 3]","(2, 3]",54.52936844375483,4.217072467202828,7.7335802477752775
"(1, 5]","(2, 3]","(3, 4]",47.354365297471475,3.7104823443188284,7.8355655724878925
"(1, 5]","(2, 3]","(4, 10]",66.05199031952343,5.457704510876591,8.262740432915344
"(1, 5]","(3, 4]","(0, 1]",4.335051022058634,0.3137068977643209,7.236521465792286
"(1, 5]","(3, 4]","(1, 2]",32.5590611681249,2.5061771973130913,7.6973263583122655
"(1, 5]","(3, 4]","(2, 3]",36.13345350321639,2.814044799106187,7.787920960435452
"(1, 5]","(3, 4]","(3, 4]",28.931399005398493,2.308119443396855,7.9779047081897705
"(1, 5]","(3, 4]","(4, 10]",45.44333238484546,3.719849556910566,8.185688332467162
"(1, 5]","(4, 5]","(0, 1]",4.767656378235123,0.34518805137286673,7.240204074871844
"(1, 5]","(4, 5]","(1, 2]",24.98065689192348,1.8731809479525467,7.498525583441189
"(1, 5]","(4, 5]","(2, 3]",29.840464448066168,2.4272754674579424,8.134174559120321
