linkEfficiencyInPercentage,linkEfficiencyRounded,numberOfLinks
0.20547344947735188,0,1
0.3748800020109822,0,1
34.186454999999995,34,1
0.21069442746683717,0,1
0.5130686585662904,1,1
1.7587781475314177,2,1
0.9513347512428586,1,1
0.4288190683665598,0,1
0.11367894137539303,0,1
0.17895409395969347,0,1
0.11884967581317171,0,1
2.8913938775510206,3,1
68.25611443490888,68,1
0.1364252013359014,0,1
0.10320050311289129,0,1
53.58376217014087,54,1
1.8077810001936039,2,1
1.7820767147697574,2,1
0.3046979333775688,0,1
1.8393266329886364,2,1
32.71794592623589,33,1
0.5354176537160227,1,1
0.4298181739165412,0,1
0.6776091443338833,1,1
2.1440696384703113,2,1
0.42337088748200197,0,1
41.53267207374561,42,1
0.18518725532204292,0,1
0.027391846153846162,0,1
0.882365246991217,1,1
0.49387233657426244,0,1
81.3046571613072,81,1
0.3198564059504142,0,1
0.17207980323060706,0,1
1.324961016018175,1,1
2.485575717587347,2,1
2.5867204018876,3,1
0.07007842910820153,0,1
1.5585603665994543,2,1
0.06929869590403452,0,1
0.18274231665955168,0,1
0.12548763631394447,0,1
0.3169490243634647,0,1
0.16028937937425425,0,1
0.5459460799406256,1,1
0.4152972401454299,0,1
0.06502661743661879,0,1
0.39769604468824665,0,1
29.69273158853539,30,1
0.3169539134356465,0,1
0.1550128216306588,0,1
0.47727419285266737,0,1
0.9420208696276966,1,1
0.4606674095100053,0,1
1.2005774686723696,1,1
2.592002637891472,3,1
0.016630394802376446,0,1
0.40898119378435793,0,1
0.5092141442074214,1,1
1.0983176486431083,1,1
0.02361235028549284,0,1
0.4691524377714645,0,1
0.1118157761464338,0,1
0.45299080461663704,0,1
0.4809595861197523,0,1
0.045231344824518835,0,1
3.7590477791807526,4,1
0.0851869718015055,0,1
0.020907436007988476,0,1
0.904132283580181,1,1
100.00000000023563,100,2
4.79193760270451,5,1
85.54284293560342,86,1
0.5430963019180307,1,1
0.42634302362889714,0,1
0.25668951256573586,0,1
0.292030726680123,0,1
0.2931783105670144,0,1
0.08193999488342485,0,1
7.359628003025671,7,1
44.23748710036431,44,1
0.4884484232909637,0,1
0.3023056047204164,0,1
13.823149312952518,14,1
0.34532374220506834,0,1
0.05019321643286574,0,1
72.67487058136521,73,1
0.26906145279099714,0,1
16.801599628335513,17,1
0.9530537454034291,1,1
0.11701429189022515,0,1
0.047373061224489796,0,1
1.7406853434764014,2,1
0.5737500442550785,1,1
0.2740419375623878,0,1
0.4678782818116508,0,1
0.5141319631153202,1,1
1.5533045025107994,2,1
0.33236222507479757,0,1
0.12486567778362478,0,1
0.21291734029982062,0,1
96.75384,97,1
0.10616062046049637,0,1
1.3317827401785307,1,1
0.0779164023174517,0,1
1.54908298103387,2,1
0.40822891798120875,0,1
0.12959116552489763,0,1
97.5541846224844,98,2
0.10052375496049377,0,1
0.07645307503656024,0,1
0.25190846248202625,0,1
0.5190224108429845,1,6
0.4349772623453335,0,1
0.24467011538536398,0,1
0.015500959750693004,0,1
0.2395598181765265,0,1
1.3507484317343297,1,1
0.068407596189196,0,1
0.1408076353904282,0,1
2.8654988664792302,3,1
0.7281458763456701,1,1
0.41931264456563655,0,1
