Bin,AverageLinkSpeed
0,0,100.0
1,1,100.0
2,2,100.0
3,3,100.0
4,4,100.0
5,5,100.0
6,6,99.99999999999999
7,7,99.99999999999999
8,8,95.59795187842371
9,9,88.22125556125069
10,10,88.00813058594301
11,11,88.66993793433204
12,12,88.87531555127602
13,13,89.00554189711521
14,14,89.15170077483762
15,15,89.00923410012904
16,16,89.43706407427574
17,17,89.32080350510395
18,18,87.76151405906272
19,19,86.42285000184089
20,20,86.16097626381091
21,21,86.41237740013578
22,22,86.61592053151075
23,23,87.5227311518218
24,24,87.40951974714588
25,25,87.89719120859556
26,26,88.33431168972639
27,27,89.32216646458015
28,28,90.48465585813058
29,29,92.13021309553986
30,30,100.0
