model,tourType,variable,alternative,units,latentClass,value
modeChoice,mandatory,asc,ride_hail,util,class4,-1.61
modeChoice,mandatory,asc,ride_hail,util,class5,1.789
modeChoice,mandatory,asc,ride_hail,util,class6,-2.5
modeChoice,mandatory,asc,walk,util,class1,-1.6
modeChoice,mandatory,asc,walk,util,class2,
modeChoice,mandatory,asc,walk,util,class3,5.19
modeChoice,mandatory,asc,walk,util,class4,
modeChoice,mandatory,asc,walk,util,class5,-4.56
modeChoice,mandatory,asc,walk,util,class6,
modeChoice,mandatory,asc,walk_transit,util,class1,-0.551
modeChoice,mandatory,asc,walk_transit,util,class2,2.67
modeChoice,mandatory,asc,walk_transit,util,class3,4.858
modeChoice,mandatory,asc,walk_transit,util,class4,
modeChoice,mandatory,asc,walk_transit,util,class5,-2.068
modeChoice,mandatory,asc,walk_transit,util,class6,
modeChoice,mandatory,cost,bike,util/$,class1,-0.13
modeChoice,mandatory,cost,bike,util/$,class2,-0.15
modeChoice,mandatory,cost,bike,util/$,class3,-0.09
modeChoice,mandatory,cost,bike,util/$,class4,-0.317
modeChoice,mandatory,cost,bike,util/$,class5,-0.15
modeChoice,mandatory,cost,bike,util/$,class6,-0.053
modeChoice,mandatory,cost,car,util/$,class1,-0.13
modeChoice,mandatory,cost,car,util/$,class2,-0.15
modeChoice,mandatory,cost,car,util/$,class3,-0.09
modeChoice,mandatory,cost,car,util/$,class4,-0.317
modeChoice,mandatory,cost,car,util/$,class5,-0.15
modeChoice,mandatory,cost,car,util/$,class6,-0.053
modeChoice,mandatory,cost,drive_transit,util/$,class1,-0.13
modeChoice,mandatory,cost,drive_transit,util/$,class2,-0.15
modeChoice,mandatory,cost,drive_transit,util/$,class3,-0.09
modeChoice,mandatory,cost,drive_transit,util/$,class4,-0.317
modeChoice,mandatory,cost,drive_transit,util/$,class5,-0.15
modeChoice,mandatory,cost,drive_transit,util/$,class6,-0.053
modeChoice,mandatory,cost,ride_hail,util/$,class1,-0.13
modeChoice,mandatory,cost,ride_hail,util/$,class2,-0.15
modeChoice,mandatory,cost,ride_hail,util/$,class3,-0.09
modeChoice,mandatory,cost,ride_hail,util/$,class4,-0.317
modeChoice,mandatory,cost,ride_hail,util/$,class5,-0.15
modeChoice,mandatory,cost,ride_hail,util/$,class6,-0.053
modeChoice,mandatory,cost,walk,util/$,class1,-0.13
modeChoice,mandatory,cost,walk,util/$,class2,-0.15
modeChoice,mandatory,cost,walk,util/$,class3,-0.09
modeChoice,mandatory,cost,walk,util/$,class4,-0.317
modeChoice,mandatory,cost,walk,util/$,class5,-0.15
modeChoice,mandatory,cost,walk,util/$,class6,-0.053
modeChoice,mandatory,cost,walk_transit,util/$,class1,-0.13
modeChoice,mandatory,cost,walk_transit,util/$,class2,-0.15
modeChoice,mandatory,cost,walk_transit,util/$,class3,-0.09
modeChoice,mandatory,cost,walk_transit,util/$,class4,-0.317
modeChoice,mandatory,cost,walk_transit,util/$,class5,-0.15
modeChoice,mandatory,cost,walk_transit,util/$,class6,-0.053
modeChoice,mandatory,time,bike,util/sec,class1,-0.000533333
modeChoice,mandatory,time,bike,util/sec,class2,-0.000338889
modeChoice,mandatory,time,bike,util/sec,class3,-0.000325
modeChoice,mandatory,time,bike,util/sec,class4,0
modeChoice,mandatory,time,bike,util/sec,class5,-0.001516667
modeChoice,mandatory,time,bike,util/sec,class6,-0.000166667
modeChoice,mandatory,time,car,util/sec,class1,-0.000216667
modeChoice,mandatory,time,car,util/sec,class2,-0.000738889
modeChoice,mandatory,time,car,util/sec,class3,-0.000333333
modeChoice,mandatory,time,car,util/sec,class4,0
modeChoice,mandatory,time,car,util/sec,class5,-0.000633333
modeChoice,mandatory,time,car,util/sec,class6,-8.33e-05
modeChoice,mandatory,time,drive_transit,util/sec,class1,-0.000533333
modeChoice,mandatory,time,drive_transit,util/sec,class2,-0.000338889
modeChoice,mandatory,time,drive_transit,util/sec,class3,-0.000325
modeChoice,mandatory,time,drive_transit,util/sec,class4,0
modeChoice,mandatory,time,drive_transit,util/sec,class5,-0.001516667
modeChoice,mandatory,time,drive_transit,util/sec,class6,-0.000166667
modeChoice,mandatory,time,ride_hail,util/sec,class1,-0.000533333
modeChoice,mandatory,time,ride_hail,util/sec,class2,-0.000338889
modeChoice,mandatory,time,ride_hail,util/sec,class3,-0.000325
modeChoice,mandatory,time,ride_hail,util/sec,class4,0
modeChoice,mandatory,time,ride_hail,util/sec,class5,-0.001516667
modeChoice,mandatory,time,ride_hail,util/sec,class6,-0.000166667
modeChoice,mandatory,time,walk,util/sec,class1,-0.000216667
modeChoice,mandatory,time,walk,util/sec,class2,-0.000738889
modeChoice,mandatory,time,walk,util/sec,class3,-0.000333333
modeChoice,mandatory,time,walk,util/sec,class4,0
modeChoice,mandatory,time,walk,util/sec,class5,-0.000633333
modeChoice,mandatory,time,walk,util/sec,class6,-8.33e-05
modeChoice,mandatory,time,walk_transit,util/sec,class1,-0.000216667
modeChoice,mandatory,time,walk_transit,util/sec,class2,-0.000738889
modeChoice,mandatory,time,walk_transit,util/sec,class3,-0.000333333
modeChoice,mandatory,time,walk_transit,util/sec,class4,0
modeChoice,mandatory,time,walk_transit,util/sec,class5,-0.000633333
modeChoice,mandatory,time,walk_transit,util/sec,class6,-8.33e-05
modeChoice,nonmandatory,asc,bike,util,class1,-0.16
modeChoice,nonmandatory,asc,bike,util,class2,
modeChoice,nonmandatory,asc,bike,util,class3,
modeChoice,nonmandatory,asc,bike,util,class4,
modeChoice,nonmandatory,asc,bike,util,class5,
modeChoice,nonmandatory,asc,bike,util,class6,
modeChoice,nonmandatory,asc,car,util,class1,0
modeChoice,nonmandatory,asc,car,util,class2,0
modeChoice,nonmandatory,asc,car,util,class3,0
modeChoice,nonmandatory,asc,car,util,class4,0
modeChoice,nonmandatory,asc,car,util,class5,0
modeChoice,nonmandatory,asc,car,util,class6,0
modeChoice,nonmandatory,asc,drive_transit,util,class1,-1.802
modeChoice,nonmandatory,asc,drive_transit,util,class2,-0.973
modeChoice,nonmandatory,asc,drive_transit,util,class3,2.596
modeChoice,nonmandatory,asc,drive_transit,util,class4,
modeChoice,nonmandatory,asc,drive_transit,util,class5,2.476
modeChoice,nonmandatory,asc,drive_transit,util,class6,
modeChoice,nonmandatory,asc,ride_hail,util,class1,0.346
modeChoice,nonmandatory,asc,ride_hail,util,class2,-1.89
modeChoice,nonmandatory,asc,ride_hail,util,class3,0.475
modeChoice,nonmandatory,asc,ride_hail,util,class4,-0.744
modeChoice,nonmandatory,asc,ride_hail,util,class5,1.3
modeChoice,nonmandatory,asc,ride_hail,util,class6,1.059
modeChoice,nonmandatory,asc,walk,util,class1,-0.0899
modeChoice,nonmandatory,asc,walk,util,class2,-1.885
modeChoice,nonmandatory,asc,walk,util,class3,0.475
modeChoice,nonmandatory,asc,walk,util,class4,-0.744
modeChoice,nonmandatory,asc,walk,util,class5,1.3
modeChoice,nonmandatory,asc,walk,util,class6,1.059
modeChoice,nonmandatory,asc,walk_transit,util,class1,-1.802
modeChoice,nonmandatory,asc,walk_transit,util,class2,-0.973
modeChoice,nonmandatory,asc,walk_transit,util,class3,2.596
modeChoice,nonmandatory,asc,walk_transit,util,class4,
modeChoice,nonmandatory,asc,walk_transit,util,class5,2.476
modeChoice,nonmandatory,asc,walk_transit,util,class6,
modeChoice,nonmandatory,cost,bike,util/$,class1,-0.03
modeChoice,nonmandatory,cost,bike,util/$,class2,-0.125
modeChoice,nonmandatory,cost,bike,util/$,class3,-0.037
modeChoice,nonmandatory,cost,bike,util/$,class4,-0.353
modeChoice,nonmandatory,cost,bike,util/$,class5,-0.798
modeChoice,nonmandatory,cost,bike,util/$,class6,
modeChoice,nonmandatory,cost,car,util/$,class1,-0.03
modeChoice,nonmandatory,cost,car,util/$,class2,-0.125
modeChoice,nonmandatory,cost,car,util/$,class3,-0.037
modeChoice,nonmandatory,cost,car,util/$,class4,-0.353
modeChoice,nonmandatory,cost,car,util/$,class5,-0.798
modeChoice,nonmandatory,cost,car,util/$,class6,
modeChoice,nonmandatory,cost,drive_transit,util/$,class1,-0.03
modeChoice,nonmandatory,cost,drive_transit,util/$,class2,-0.125
modeChoice,nonmandatory,cost,drive_transit,util/$,class3,-0.037
modeChoice,nonmandatory,cost,drive_transit,util/$,class4,-0.353
modeChoice,nonmandatory,cost,drive_transit,util/$,class5,-0.798
modeChoice,nonmandatory,cost,drive_transit,util/$,class6,
modeChoice,nonmandatory,cost,ride_hail,util/$,class1,-0.03
modeChoice,nonmandatory,cost,ride_hail,util/$,class2,-0.125
modeChoice,nonmandatory,cost,ride_hail,util/$,class3,-0.037
modeChoice,nonmandatory,cost,ride_hail,util/$,class4,-0.353
modeChoice,nonmandatory,cost,ride_hail,util/$,class5,-0.798
modeChoice,nonmandatory,cost,ride_hail,util/$,class6,
modeChoice,nonmandatory,cost,walk,util/$,class1,-0.03
modeChoice,nonmandatory,cost,walk,util/$,class2,-0.125
modeChoice,nonmandatory,cost,walk,util/$,class3,-0.037
modeChoice,nonmandatory,cost,walk,util/$,class4,-0.353
modeChoice,nonmandatory,cost,walk,util/$,class5,-0.798
modeChoice,nonmandatory,cost,walk,util/$,class6,
modeChoice,nonmandatory,cost,walk_transit,util/$,class1,-0.03
modeChoice,nonmandatory,cost,walk_transit,util/$,class2,-0.125
modeChoice,nonmandatory,cost,walk_transit,util/$,class3,-0.037
modeChoice,nonmandatory,cost,walk_transit,util/$,class4,-0.353
modeChoice,nonmandatory,cost,walk_transit,util/$,class5,-0.798
modeChoice,nonmandatory,cost,walk_transit,util/$,class6,
